,Day,Month,Year,DAP,Stage,WC(1.20)a,Raina,Irri,Surf,Infilt,RO,Drain,CR,Zgwta,Ex,E,E/Ex,Trxa,Tra,Tr/Trx,ETx,ET,ET/ETx,GD,Za,StExp,StSto,StSen,StSalta,StWeed,CC,CCw,StTr,Kc(Tr),Trxb,Trb,TrW,Tr/Trxb,WP,Biomass,HI,Y(dry),Y(fresh),Brelative,WPet,Bin,Bout,WC(1.20)b,Wr(0.40),Zb,Wr,Wr(SAT),Wr(FC),Wr(exp),Wr(sto),Wr(sen),Wr(PWP),SaltIn,SaltOut,SaltUp,Salt(1.20),SaltZ,Zc,ECe,ECsw,StSaltb,Zgwtb,ECgw,WC01,WC 2,WC 3,WC 4,WC 5,WC 6,WC 7,WC 8,WC 9,WC10,WC11,WC12,ECe01,ECe 2,ECe 3,ECe 4,ECe 5,ECe 6,ECe 7,ECe 8,ECe 9,ECe10,ECe11,ECe12,Rainb,ETo,Tmin,Tavg,Tmax,CO2
0,25,3,2024,1,1,362.5,5.1,0.0,0.0,5.0,0.1,0.0,0.0,-9.9,2.5,2.5,100,0.0,0.0,100,2.5,2.5,100,3.5,0.3,-9,0,0,0,0,1.0,1.0,51,0.02,0.0,0.0,0.0,100,19.3,0.002,-9.9,0.0,0.0,100,0.0,0.0,0.0,362.5,122.5,0.3,92.5,150.0,90.0,69.2,55.2,36.6,30.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0,-9.9,-9.0,32.5,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,2.3,3.3,7.5,11.7,423.08
1,26,3,2024,2,2,359.2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-9.9,2.8,2.8,100,0.1,0.1,100,2.8,2.8,100,6.0,0.3,-9,0,0,0,0,1.1,1.1,6,0.02,0.1,0.1,0.1,100,19.3,0.006,57.8,0.003,0.033,100,0.06,0.0,0.0,359.2,118.9,0.3,88.7,150.0,90.0,69.9,55.7,36.9,30.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0,-9.9,-9.0,27.9,30.5,30.3,30.1,30.1,30.1,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,5.6,10.0,14.4,423.08
2,27,3,2024,3,2,361.9,5.6,0.0,0.0,5.5,0.1,0.6,0.0,-9.9,2.2,2.2,100,0.0,0.0,100,2.2,2.2,100,7.4,0.3,-9,0,0,0,0,1.3,1.3,0,0.02,0.0,0.0,0.0,100,19.3,0.01,70.1,0.007,0.072,100,0.1,0.0,0.0,361.9,121.6,0.3,91.5,150.0,90.0,68.6,54.7,36.3,30.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0,-9.9,-9.0,31.2,30.2,30.1,30.1,30.1,30.1,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,2.0,8.9,11.4,13.9,423.08
3,28,3,2024,4,2,364.0,4.8,0.0,0.0,4.7,0.1,0.6,0.0,-9.9,2.0,2.0,100,0.0,0.0,100,2.1,2.1,100,5.2,0.3,0,0,0,0,0,1.4,1.4,14,0.03,0.0,0.0,0.0,100,19.3,0.015,74.6,0.011,0.11,100,0.11,0.0,0.0,364.0,123.6,0.3,93.5,150.0,90.0,68.3,54.5,36.2,30.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0,-9.9,-9.0,33.0,30.3,30.2,30.1,30.1,30.1,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,1.9,6.7,9.2,11.7,423.08
4,29,3,2024,5,2,363.1,3.6,0.0,0.0,3.6,0.0,1.0,0.0,-9.9,3.3,3.3,100,0.1,0.1,100,3.4,3.4,100,5.8,0.31,0,0,0,0,0,1.6,1.6,8,0.03,0.1,0.1,0.1,100,19.3,0.02,77.3,0.015,0.154,100,0.12,0.0,0.0,363.1,122.5,0.31,95.1,154.7,92.8,73.1,58.3,38.4,30.9,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0,-9.9,-9.0,31.1,30.7,30.4,30.2,30.2,30.1,30.1,30.1,30.1,30.1,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,3.1,3.9,9.8,15.6,423.08
5,30,3,2024,6,2,358.9,0.0,0.0,0.0,0.0,0.0,1.3,0.0,-9.9,3.3,2.9,87,0.1,0.1,100,3.4,3.0,88,5.8,0.32,0,0,0,0,0,1.8,1.8,8,0.03,0.1,0.1,0.1,100,19.3,0.026,79.0,0.02,0.203,100,0.13,0.0,0.0,358.9,118.2,0.32,95.0,161.5,96.9,76.4,60.9,40.2,32.3,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0,-9.9,-9.0,27.4,30.4,30.3,30.2,30.1,30.1,30.1,30.1,30.1,30.1,30.1,30.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,3.9,9.8,15.6,423.08
6,31,3,2024,7,2,356.4,0.0,0.0,0.0,0.0,0.0,0.9,0.0,-9.9,2.4,1.6,67,0.1,0.1,100,2.5,1.7,68,5.4,0.34,0,0,0,0,0,1.9,1.9,11,0.04,0.1,0.1,0.1,100,19.3,0.032,80.2,0.026,0.255,100,0.14,0.0,0.0,356.4,116.0,0.34,96.5,167.7,100.6,77.3,61.6,40.8,33.5,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0,-9.9,-9.0,25.7,30.1,30.1,30.1,30.1,30.1,30.1,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,6.1,9.4,12.8,423.08
7,1,4,2024,8,2,354.7,0.0,0.0,0.0,0.0,0.0,0.4,0.0,-9.9,2.0,1.2,57,0.0,0.0,100,2.1,1.2,58,3.8,0.34,0,0,0,0,0,2.1,2.1,43,0.04,0.0,0.0,0.0,100,19.3,0.036,80.7,0.029,0.291,100,0.15,0.0,0.0,354.7,114.6,0.34,97.7,171.8,103.1,78.4,62.4,41.5,34.4,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0,-9.9,-9.0,24.5,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,5.0,7.8,10.6,423.08
8,2,4,2024,9,2,353.4,0.0,0.0,0.0,0.0,0.0,0.2,0.0,-9.9,2.3,1.2,50,0.0,0.0,100,2.4,1.2,50,2.7,0.35,0,0,0,0,0,2.2,2.2,72,0.04,0.0,0.0,0.0,100,19.3,0.038,81.0,0.031,0.309,100,0.15,0.0,0.0,353.4,113.3,0.35,98.1,174.6,104.8,80.4,64.1,42.5,34.9,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0,-9.9,-9.0,23.3,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.8,6.7,10.6,423.08
9,3,4,2024,10,2,352.2,0.0,0.0,0.0,0.0,0.0,0.1,0.0,-9.9,2.5,1.1,44,0.0,0.0,100,2.5,1.1,45,2.9,0.36,0,0,0,0,0,2.3,2.3,66,0.04,0.0,0.0,0.0,100,19.3,0.041,81.3,0.033,0.333,100,0.16,0.0,0.0,352.2,112.2,0.36,98.8,177.7,106.6,82.1,65.4,43.4,35.5,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0,-9.9,-9.0,22.2,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,2.8,6.9,11.1,423.08
