x,y,SNOW_ON_GROUND,SPEED_MAX_GUST,LOCAL_MONTH,MAX_REL_HUMIDITY,HEATING_DEGREE_DAYS_FLAG,LOCAL_DAY,DIRECTION_MAX_GUST_FLAG,TOTAL_PRECIPITATION_FLAG,TOTAL_SNOW,MIN_REL_HUMIDITY,STATION_NAME,MAX_TEMPERATURE,TOTAL_RAIN,ID,MIN_TEMPERATURE_FLAG,SNOW_ON_GROUND_FLAG,SPEED_MAX_GUST_FLAG,PROVINCE_CODE,CLIMATE_IDENTIFIER,LOCAL_YEAR,MAX_TEMPERATURE_FLAG,COOLING_DEGREE_DAYS,TOTAL_SNOW_FLAG,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,DIRECTION_MAX_GUST,TOTAL_RAIN_FLAG,TOTAL_PRECIPITATION,MEAN_TEMPERATURE,LOCAL_DATE,HEATING_DEGREE_DAYS,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY_FLAG,COOLING_DEGREE_DAYS_FLAG
-66.08805555555556,43.82694444444444,,,10,,,29,,M,,76,YARMOUTH A,13.4,,8206496.2018.10.29,,,,NS,8206496,2018,,0,,,7.1,,,,10.3,2018-10-29 00:00:00,7.7,,M,
-66.08805555555556,43.82694444444444,,34,10,89,,30,,M,,73,YARMOUTH A,10.5,,8206496.2018.10.30,,,,NS,8206496,2018,,0,,,5.7,35,,,8.1,2018-10-30 00:00:00,9.9,,,
-66.08805555555556,43.82694444444444,,32,10,93,,31,,M,,62,YARMOUTH A,8.9,,8206496.2018.10.31,,,,NS,8206496,2018,,0,,,4.4,34,,,6.7,2018-10-31 00:00:00,11.3,,,
-66.08805555555556,43.82694444444444,,,11,99,,1,,M,,84,YARMOUTH A,13.2,,8206496.2018.11.1,,,,NS,8206496,2018,,0,,,8.6,,,,10.9,2018-11-01 00:00:00,7.1,,,
-66.08805555555556,43.82694444444444,,50,11,100,,2,,M,,94,YARMOUTH A,16.1,,8206496.2018.11.2,,,,NS,8206496,2018,,0,,,8.7,19,,,12.4,2018-11-02 00:00:00,5.6,,,
-66.08805555555556,43.82694444444444,,82,11,100,,3,,M,,63,YARMOUTH A,16.5,,8206496.2018.11.3,,,,NS,8206496,2018,,0,,,9.1,26,,,12.8,2018-11-03 00:00:00,5.2,,,
-66.08805555555556,43.82694444444444,,62,11,88,,4,,M,,58,YARMOUTH A,9.1,,8206496.2018.11.4,,,,NS,8206496,2018,,0,,,-0.3,26,,,4.4,2018-11-04 00:00:00,13.6,,,
-66.08805555555556,43.82694444444444,,36,11,93,,5,,M,,67,YARMOUTH A,9.4,,8206496.2018.11.5,,,,NS,8206496,2018,,0,,,-0.4,13,,,4.5,2018-11-05 00:00:00,13.5,,,
-66.08805555555556,43.82694444444444,,48,11,100,,6,,M,,97,YARMOUTH A,15.2,,8206496.2018.11.6,,,,NS,8206496,2018,,0,,,8.6,19,,,11.9,2018-11-06 00:00:00,6.1,,,
-66.08805555555556,43.82694444444444,,44,11,100,,7,,M,,66,YARMOUTH A,13.7,,8206496.2018.11.7,,,,NS,8206496,2018,,0,,,10.3,25,,,12,2018-11-07 00:00:00,6,,,
-66.08805555555556,43.82694444444444,,44,11,77,,8,,M,,56,YARMOUTH A,11.2,,8206496.2018.11.8,,,,NS,8206496,2018,,0,,,6.3,30,,,8.8,2018-11-08 00:00:00,9.2,,,
-66.08805555555556,43.82694444444444,,45,11,80,,9,,M,,52,YARMOUTH A,10,,8206496.2018.11.9,,,,NS,8206496,2018,,0,,,5,11,,,7.5,2018-11-09 00:00:00,10.5,,,
-66.08805555555556,43.82694444444444,,64,11,99,,10,,M,,52,YARMOUTH A,12.6,,8206496.2018.11.10,,,,NS,8206496,2018,,0,,,3.7,29,,,8.2,2018-11-10 00:00:00,9.8,,,
-66.08805555555556,43.82694444444444,,67,11,59,,11,,M,,51,YARMOUTH A,4.9,,8206496.2018.11.11,,,,NS,8206496,2018,,0,,,0.4,28,,,2.7,2018-11-11 00:00:00,15.3,,,
-66.08805555555556,43.82694444444444,,50,11,76,,12,,M,,42,YARMOUTH A,4,,8206496.2018.11.12,,,,NS,8206496,2018,,0,,,0,31,,,2,2018-11-12 00:00:00,16,,,
-66.08805555555556,43.82694444444444,,59,11,99,,13,,M,,73,YARMOUTH A,12.8,,8206496.2018.11.13,,,,NS,8206496,2018,,0,,,0,14,,,6.4,2018-11-13 00:00:00,11.6,,,
-66.08805555555556,43.82694444444444,,,11,,M,14,M,M,,,YARMOUTH A,,,8206496.2018.11.14,M,,M,NS,8206496,2018,M,,,M,,,,,,2018-11-14 00:00:00,,M,M,M
