Datetime,Tmax(C),Tmin(C),Prcp(mm),Day,Month,Year,ET0
1940-02-06,0.0,-11.1,5.8,6,2,1940,0.78
1940-02-07,3.3,-1.7,2.3,7,2,1940,0.64
1940-02-08,1.1,-1.7,0.8,8,2,1940,0.47
1940-02-09,2.8,-8.9,0.0,9,2,1940,0.93
1940-02-10,2.2,-14.4,17.8,10,2,1940,1.07
1940-02-11,6.7,-3.3,22.9,11,2,1940,1.05
1940-02-12,1.1,-2.8,0.0,12,2,1940,0.55
1940-02-13,-1.7,-7.8,0.0,13,2,1940,0.59
1940-02-14,-0.6,-7.2,10.2,14,2,1940,0.65
1940-02-15,0.6,-6.1,6.4,15,2,1940,0.7
1940-02-16,1.7,-5.0,1.3,16,2,1940,0.74
1940-02-17,4.4,-3.3,0.0,17,2,1940,0.9
1940-02-18,2.8,-2.8,0.0,18,2,1940,0.74
1940-02-19,5.0,-4.4,4.3,19,2,1940,1.03
1940-02-20,2.2,-2.2,4.1,20,2,1940,0.67
1940-02-21,0.6,-3.3,0.3,21,2,1940,0.6
1940-02-22,-0.6,-10.0,0.0,22,2,1940,0.82
1940-02-23,-0.6,-13.9,0.3,23,2,1940,0.96
1940-02-24,-1.7,-5.6,2.3,24,2,1940,0.55
1940-02-25,1.7,-3.9,12.2,25,2,1940,0.76
1940-02-26,-5.0,-7.2,0.5,26,2,1940,0.39
1940-02-27,-3.9,-11.1,0.0,27,2,1940,0.66
1940-02-28,-3.3,-7.8,1.0,28,2,1940,0.56
1940-02-29,-0.6,-10.0,0.0,29,2,1940,0.88
1940-03-01,0.0,-8.3,0.0,1,3,1940,0.87
1940-03-02,-6.7,-14.4,0.0,2,3,1940,0.6
1940-03-03,-0.6,-13.3,0.0,3,3,1940,1.02
1940-03-04,4.4,-11.1,0.0,4,3,1940,1.42
1940-03-05,5.6,0.0,9.7,5,3,1940,0.99
1940-03-06,2.2,0.0,7.6,6,3,1940,0.6
1940-03-07,1.1,-0.6,0.0,7,3,1940,0.53
1940-03-08,3.3,-0.6,0.0,8,3,1940,0.8
1940-03-09,2.8,-0.6,0.0,9,3,1940,0.75
1940-03-10,1.1,-1.7,0.3,10,3,1940,0.65
1940-03-11,-2.2,-5.0,0.8,11,3,1940,0.56
1940-03-12,-3.9,-7.2,0.8,12,3,1940,0.55
1940-03-13,2.8,-7.2,0.0,13,3,1940,1.21
1940-03-14,7.8,-1.7,0.0,14,3,1940,1.48
1940-03-15,1.7,-3.9,19.8,15,3,1940,0.92
1940-03-16,0.6,-1.7,0.0,16,3,1940,0.63
1940-03-17,1.1,-4.4,0.0,17,3,1940,0.91
1940-03-18,0.0,-3.9,0.0,18,3,1940,0.76
1940-03-19,3.3,-6.1,8.1,19,3,1940,1.27
1940-03-20,2.8,-1.7,4.1,20,3,1940,0.93
1940-03-21,4.4,-1.7,0.0,21,3,1940,1.14
1940-03-22,1.1,-4.4,0.8,22,3,1940,0.95
1940-03-23,-3.3,-7.2,0.5,23,3,1940,0.67
1940-03-24,-2.2,-7.8,0.8,24,3,1940,0.83
1940-03-25,-2.2,-4.4,0.8,25,3,1940,0.59
1940-03-26,0.6,-7.2,0.0,26,3,1940,1.1
1940-03-27,2.8,-2.2,0.0,27,3,1940,1.03
1940-03-28,2.2,-3.3,0.0,28,3,1940,1.05
1940-03-29,5.0,-1.1,9.4,29,3,1940,1.25
1940-03-30,8.3,-1.1,17.5,30,3,1940,1.73
1940-03-31,8.3,0.6,0.0,31,3,1940,1.61
1940-04-01,7.2,0.0,9.1,1,4,1940,1.51
1940-04-02,5.0,-2.8,0.0,2,4,1940,1.43
1940-04-03,5.6,-1.7,0.0,3,4,1940,1.44
1940-04-04,3.9,-3.9,16.0,4,4,1940,1.38
1940-04-05,3.9,0.0,3.8,5,4,1940,1.05
1940-04-06,4.4,-2.2,0.0,6,4,1940,1.34
1940-04-07,4.4,-3.3,0.0,7,4,1940,1.44
1940-04-08,5.6,-1.7,13.0,8,4,1940,1.49
1940-04-09,6.1,1.1,20.3,9,4,1940,1.32
1940-04-10,7.8,2.2,0.0,10,4,1940,1.49
1940-04-11,9.4,-2.2,0.0,11,4,1940,2.14
1940-04-12,8.3,-0.6,0.0,12,4,1940,1.86
1940-04-13,11.1,1.1,11.4,13,4,1940,2.19
1940-04-14,4.4,-0.6,0.0,14,4,1940,1.27
1940-04-15,4.4,-1.7,0.5,15,4,1940,1.38
1940-04-16,5.6,-3.9,0.0,16,4,1940,1.74
1940-04-17,6.1,0.0,0.0,17,4,1940,1.5
1940-04-18,5.0,-1.7,11.4,18,4,1940,1.5
1940-04-19,5.6,1.7,0.0,19,4,1940,1.24
1940-04-20,10.6,1.7,26.4,20,4,1940,2.14
1940-04-21,2.2,0.0,26.9,21,4,1940,0.87
1940-04-22,4.4,1.1,0.0,22,4,1940,1.12
1940-04-23,5.0,0.6,0.8,23,4,1940,1.3
1940-04-24,9.4,0.6,0.0,24,4,1940,2.07
1940-04-25,6.1,-1.7,0.0,25,4,1940,1.74
1940-04-26,8.3,-1.7,0.0,26,4,1940,2.11
1940-04-27,8.3,-2.2,0.0,27,4,1940,2.16
1940-04-28,14.4,-2.8,0.0,28,4,1940,3.28
1940-04-29,10.0,0.0,0.0,29,4,1940,2.29
1940-04-30,12.8,-1.7,0.0,30,4,1940,2.94
1940-05-01,11.7,3.3,5.1,1,5,1940,2.3
1940-05-02,14.4,5.6,0.0,2,5,1940,2.59
1940-05-03,13.9,8.9,5.6,3,5,1940,2.02
1940-05-04,11.7,6.7,4.8,4,5,1940,1.88
1940-05-05,15.6,3.9,3.6,5,5,1940,3.07
1940-05-06,15.6,3.9,0.0,6,5,1940,3.08
1940-05-07,12.8,6.1,0.0,7,5,1940,2.24
1940-05-08,10.6,5.0,0.0,8,5,1940,1.92
1940-05-09,10.6,2.8,0.0,9,5,1940,2.21
1940-05-10,11.1,2.8,0.0,10,5,1940,2.32
1940-05-11,14.4,3.9,0.0,11,5,1940,2.89
1940-05-12,13.9,1.7,0.3,12,5,1940,3.01
1940-05-13,9.4,5.0,0.0,13,5,1940,1.7
1940-05-14,11.1,4.4,0.0,14,5,1940,2.16
1940-05-15,15.0,5.0,0.0,15,5,1940,2.93
1940-05-16,16.1,5.6,0.0,16,5,1940,3.11
1940-05-17,17.2,8.9,1.8,17,5,1940,2.94
1940-05-18,11.1,7.2,0.0,18,5,1940,1.74
1940-05-19,13.3,5.6,0.0,19,5,1940,2.51
1940-05-20,7.8,6.1,0.0,20,5,1940,1.11
1940-05-21,9.4,6.1,14.2,21,5,1940,1.54
1940-05-22,17.2,7.8,0.0,22,5,1940,3.14
1940-05-23,15.6,7.2,7.4,23,5,1940,2.85
1940-05-24,10.0,7.2,1.0,24,5,1940,1.48
1940-05-25,13.3,7.2,0.3,25,5,1940,2.32
1940-05-26,18.9,8.3,0.0,26,5,1940,3.51
1940-05-27,16.1,7.2,0.0,27,5,1940,2.99
1940-05-28,14.4,6.7,0.0,28,5,1940,2.67
1940-05-29,17.2,7.8,0.0,29,5,1940,3.18
1940-05-30,15.0,5.0,0.0,30,5,1940,3.04
1940-05-31,16.7,5.6,12.4,31,5,1940,3.36
1940-06-01,14.4,9.4,7.1,1,6,1940,2.24
1940-06-02,16.7,8.9,0.0,2,6,1940,2.92
1940-06-03,17.8,7.8,0.0,3,6,1940,3.36
1940-06-04,17.8,9.4,0.0,4,6,1940,3.13
1940-06-05,16.1,8.3,0.0,5,6,1940,2.87
1940-06-06,16.7,9.4,0.3,6,6,1940,2.85
1940-06-07,18.3,7.2,0.0,7,6,1940,3.57
1940-06-08,16.7,7.2,0.0,8,6,1940,3.19
1940-06-09,13.9,8.9,2.3,9,6,1940,2.22
