,T_min,T_max,R_s
2007-01-01,-9.8,10.6,1.7208
2007-01-02,0.3,10.6,4.2444
2007-01-03,0.3,6.9,7.6356
2007-01-04,2.8,9.1,7.2792
2007-01-05,6.3,11.3,2.4408
2007-01-06,8.6,12.0,1.5695999999999999
2007-01-07,-0.5,9.2,7.9812
2007-01-08,0.7,11.6,1.17
2007-01-09,0.6,6.6,5.6628
2007-01-10,-4.9,3.4,5.4468
2007-01-11,-7.7,2.6,4.1328
2007-01-12,2.4,7.3,2.0628
2007-01-13,-3.8,7.3,1.2024000000000001
2007-01-14,-3.7,0.6,1.7928
2007-01-15,-3.8,0.7,1.26
2007-01-16,-9.8,3.5,1.4112
2007-01-17,-15.6,-9.5,3.8988
2007-01-18,-16.4,1.9,3.6216
2007-01-19,0.1,7.4,1.2564
2007-01-20,-8.0,0.5,5.0256
2007-01-21,-10.0,-6.5,6.6312
2007-01-22,-9.0,-3.5,7.002
2007-01-23,-7.3,-1.1,5.778
2007-01-24,-8.7,1.2,7.9272
2007-01-25,-10.3,-4.5,6.0084
2007-01-26,-14.1,-10.1,4.1184
2007-01-27,-12.0,-2.3,4.014
2007-01-28,-9.9,-3.1,3.1248
2007-01-29,-9.7,-5.1,5.7384
2007-01-30,-11.6,-7.2,4.9896
2007-01-31,-15.9,-2.2,6.1884
2007-02-01,-7.9,0.3,4.9968
2007-02-02,-0.7,1.0,1.5084
2007-02-03,-4.9,2.9,3.3768000000000002
2007-02-04,-6.9,-2.6,3.726
2007-02-05,-14.2,-6.3,3.2652
2007-02-06,-14.0,-5.7,4.8168
2007-02-07,-11.9,-6.6,9.943200000000001
2007-02-08,-10.3,-5.9,4.3884
2007-02-09,-9.8,-4.5,6.5628
2007-02-10,-9.2,-3.2,6.6852
2007-02-11,-8.0,-4.0,11.448
2007-02-12,-10.1,-1.4,7.6284
2007-02-13,-11.3,-8.0,9.9288
2007-02-14,-12.6,4.9,2.6064
2007-02-15,-8.5,2.5,3.7332
2007-02-16,-9.5,-4.5,5.0796
2007-02-17,-4.6,0.7,11.844
2007-02-18,-3.1,3.2,7.056
2007-02-19,-10.2,-0.7,4.6944
2007-02-20,-10.5,2.2,2.5776
2007-02-21,-5.7,-0.3,10.645199999999999
2007-02-22,-6.8,-1.5,13.338
2007-02-23,-7.7,-4.3,12.776399999999999
2007-02-24,-8.0,0.9,4.7988
2007-02-25,-4.3,1.4,13.8672
2007-02-26,-9.4,-0.5,11.476799999999999
2007-02-27,-9.4,-1.3,5.6196
2007-02-28,-2.6,1.9,9.27
2007-03-01,-6.5,0.6,15.984
2007-03-02,-6.0,4.2,3.0348
2007-03-03,-0.1,5.5,15.357600000000001
2007-03-04,-0.8,3.0,12.6684
2007-03-05,-3.6,0.4,13.356
2007-03-06,-15.7,-2.3,5.6052
2007-03-07,-15.2,-7.7,9.3852
2007-03-08,-14.9,-7.0,5.8608
2007-03-09,-14.5,-2.5,13.766399999999999
2007-03-10,-3.1,3.9,9.558
2007-03-11,0.7,5.9,4.8132
2007-03-12,-0.7,3.2,17.866799999999998
2007-03-13,-2.2,7.9,15.984
2007-03-14,3.7,9.8,14.5404
2007-03-15,-0.2,7.8,5.5728
2007-03-16,-4.1,0.2,6.8796
2007-03-17,-2.5,10.6,6.3504000000000005
2007-03-18,-4.1,2.2,8.6436
2007-03-19,-3.7,1.6,19.7244
2007-03-20,-3.9,4.9,12.2076
2007-03-21,-6.7,-0.9,20.8944
2007-03-22,-1.8,7.5,3.2292
2007-03-23,0.4,8.3,17.352
2007-03-24,-2.9,5.9,20.9304
2007-03-25,-4.8,5.5,17.9964
2007-03-26,-5.1,4.8,14.2272
2007-03-27,0.7,4.2,4.1688
2007-03-28,-1.4,6.4,21.9744
2007-03-29,-2.5,4.4,18.0936
2007-03-30,-1.1,5.0,13.7988
2007-03-31,-2.6,3.2,22.9356
2007-04-01,-4.3,4.9,22.806
2007-04-02,-2.4,5.2,5.6268
2007-04-03,-3.5,2.4,8.082
2007-04-04,-4.2,4.0,20.4084
2007-04-05,-0.6,3.9,2.3436
2007-04-06,-1.5,3.0,13.5216
2007-04-07,-1.6,3.0,6.2424
2007-04-08,-1.7,2.0,12.0132
2007-04-09,-0.1,5.0,15.991200000000001
2007-04-10,1.0,4.7,18.9648
2007-04-11,0.1,4.8,25.2756
2007-04-12,-3.2,9.0,19.8504
2007-04-13,0.8,5.6,5.058
2007-04-14,0.4,3.6,6.822
2007-04-15,0.8,6.9,14.3424
2007-04-16,1.3,5.1,3.5064
2007-04-17,3.6,6.3,6.2208
2007-04-18,2.1,5.4,6.2424
2007-04-19,-1.8,8.7,13.7772
2007-04-20,-2.0,16.1,26.748
2007-04-21,2.6,17.5,26.4492
2007-04-22,0.4,12.5,26.1072
2007-04-23,5.1,12.0,25.146
2007-04-24,5.0,14.6,20.9484
2007-04-25,1.6,8.5,17.712
2007-04-26,-0.3,10.3,27.738
2007-04-27,2.6,9.5,4.6224
2007-04-28,5.3,9.8,14.6808
2007-04-29,4.2,7.6,3.69
2007-04-30,3.0,6.4,7.542
2007-05-01,2.8,8.2,15.5808
2007-05-02,2.8,11.2,22.4964
2007-05-03,3.3,8.9,28.602
2007-05-04,4.2,9.8,23.04
2007-05-05,3.6,12.7,26.91
2007-05-06,2.8,10.3,18.1944
2007-05-07,3.3,10.9,26.218799999999998
2007-05-08,5.5,12.3,27.9756
2007-05-09,6.9,14.4,25.092
2007-05-10,7.8,12.5,16.146
2007-05-11,8.9,16.8,10.6848
2007-05-12,4.7,16.4,24.1812
2007-05-13,2.7,10.7,21.3264
2007-05-14,1.6,12.2,30.1716
2007-05-15,5.8,10.2,7.2
2007-05-16,5.7,12.0,4.2192
2007-05-17,5.4,9.4,9.3276
2007-05-18,4.7,12.4,5.886
2007-05-19,7.2,14.5,8.316
2007-05-20,6.2,12.4,20.8656
2007-05-21,2.1,10.2,20.4084
2007-05-22,2.0,14.6,30.697200000000002
2007-05-23,1.1,12.5,30.114
2007-05-24,2.8,14.1,25.9992
2007-05-25,7.5,22.5,17.622
2007-05-26,7.8,20.6,27.273600000000002
2007-05-27,9.3,18.4,29.43
2007-05-28,8.4,13.8,7.3728
2007-05-29,7.7,17.2,30.132
2007-05-30,7.2,16.4,24.2316
2007-05-31,8.5,16.7,22.1724
2007-06-01,7.8,14.1,9.709200000000001
2007-06-02,9.8,20.1,18.1296
2007-06-03,9.1,14.3,9.99
2007-06-04,8.8,17.8,7.4808
2007-06-05,10.9,16.4,10.9008
2007-06-06,8.1,17.5,19.836
2007-06-07,5.2,13.1,31.5576
2007-06-08,5.5,20.9,31.8384
2007-06-09,6.4,18.9,30.6036
2007-06-10,12.3,23.0,15.228
