x,y,CLIMATE_IDENTIFIER,SPEED_MAX_GUST_FLAG,MEAN_TEMPERATURE,HEATING_DEGREE_DAYS_FLAG,LOCAL_MONTH,PROVINCE_CODE,MIN_TEMPERATURE_FLAG,TOTAL_PRECIPITATION_FLAG,MIN_TEMPERATURE,SNOW_ON_GROUND,COOLING_DEGREE_DAYS,MIN_REL_HUMIDITY_FLAG,TOTAL_SNOW_FLAG,SPEED_MAX_GUST,SNOW_ON_GROUND_FLAG,COOLING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,LOCAL_DAY,HEATING_DEGREE_DAYS,MAX_REL_HUMIDITY_FLAG,TOTAL_PRECIPITATION,TOTAL_SNOW,MEAN_TEMPERATURE_FLAG,DIRECTION_MAX_GUST_FLAG,TOTAL_RAIN,LOCAL_YEAR,DIRECTION_MAX_GUST,ID,MAX_TEMPERATURE_FLAG,LOCAL_DATE,MAX_TEMPERATURE,TOTAL_RAIN_FLAG,STATION_NAME,MAX_REL_HUMIDITY
-66.0886111111111,43.8308333333333,8206500,,-8.4,,1,NS,,,-10.8,24,0,M,,0,,,,10,26.4,M,1.2,1.8,,,0,2010,0,8206500.2010.1.10,,2010-01-10 00:00:00,-5.9,,YARMOUTH A,
-66.0886111111111,43.8308333333333,8206500,E,-3.2,,1,NS,,,-6,25,0,M,,41,,,,11,21.2,M,0.4,0.4,,E,0,2010,31,8206500.2010.1.11,,2010-01-11 00:00:00,-0.3,,YARMOUTH A,
-66.0886111111111,43.8308333333333,8206500,E,-5.1,,1,NS,,,-8.8,25,0,M,,43,,,,12,23.1,M,0.8,1.2,,E,0,2010,32,8206500.2010.1.12,,2010-01-12 00:00:00,-1.4,,YARMOUTH A,
-66.0886111111111,43.8308333333333,8206500,,-7.3,,1,NS,,,-9.1,29,0,M,,0,,,,13,25.3,M,2.4,5.2,,,0,2010,0,8206500.2010.1.13,,2010-01-13 00:00:00,-5.4,,YARMOUTH A,
-66.0886111111111,43.8308333333333,8206500,,-3,,1,NS,,T,-6.2,28,0,M,T,0,,,,14,21,M,0,0,,,0,2010,0,8206500.2010.1.14,,2010-01-14 00:00:00,0.3,,YARMOUTH A,
-66.0886111111111,43.8308333333333,8206500,E,2.5,,1,NS,,T,0.3,23,0,M,,43,,,,15,15.5,M,0,0,,E,0,2010,23,8206500.2010.1.15,,2010-01-15 00:00:00,4.7,T,YARMOUTH A,
-66.0886111111111,43.8308333333333,8206500,E,3,,1,NS,,,2,14,0,M,,39,,,,16,15,M,0,0,,E,0,2010,31,8206500.2010.1.16,,2010-01-16 00:00:00,4,,YARMOUTH A,
-66.0886111111111,43.8308333333333,8206500,E,-1.3,,1,NS,,,-5.8,10,0,M,,41,,,,17,19.3,M,0,0,,E,0,2010,35,8206500.2010.1.17,,2010-01-17 00:00:00,3.2,,YARMOUTH A,
-66.0886111111111,43.8308333333333,8206500,E,-2.5,,1,NS,,,-3.8,11,0,M,,61,,,,18,20.5,M,29.2,28,,E,0,2010,9,8206500.2010.1.18,,2010-01-18 00:00:00,-1.2,,YARMOUTH A,
-66.0886111111111,43.8308333333333,8206500,,-0.8,,1,NS,,,-3.3,30,0,M,,0,,,,19,18.8,M,0.6,0.8,,,0,2010,0,8206500.2010.1.19,,2010-01-19 00:00:00,1.7,,YARMOUTH A,
-66.0886111111111,43.8308333333333,8206500,E,0,,1,NS,,,-1.2,32,0,M,,39,,,,20,18,M,7.2,7.2,,E,0.2,2010,10,8206500.2010.1.20,,2010-01-20 00:00:00,1.2,,YARMOUTH A,
-66.0886111111111,43.8308333333333,8206500,E,-0.8,,1,NS,,T,-2.3,20,0,M,T,41,,,,21,18.8,M,0,0,,E,0,2010,33,8206500.2010.1.21,,2010-01-21 00:00:00,0.8,,YARMOUTH A,
-66.0886111111111,43.8308333333333,8206500,E,-4.2,,1,NS,,,-8.8,19,0,M,,44,,,,22,22.2,M,0,0,,E,0,2010,35,8206500.2010.1.22,,2010-01-22 00:00:00,0.4,,YARMOUTH A,
-66.0886111111111,43.8308333333333,8206500,E,-7.5,,1,NS,,,-11.6,18,0,M,,46,,,,23,25.5,M,0,0,,E,0,2010,33,8206500.2010.1.23,,2010-01-23 00:00:00,-3.4,,YARMOUTH A,
-66.0886111111111,43.8308333333333,8206500,,-4.6,,1,NS,,,-9.4,18,0,M,,0,,,,24,22.6,M,0,0,,,0,2010,0,8206500.2010.1.24,,2010-01-24 00:00:00,0.3,,YARMOUTH A,
-66.0886111111111,43.8308333333333,8206500,E,2.6,,1,NS,,,-3.9,17,0,M,,63,,,,25,15.4,M,12.4,0.2,,E,12.2,2010,16,8206500.2010.1.25,,2010-01-25 00:00:00,9,,YARMOUTH A,
-66.0886111111111,43.8308333333333,8206500,E,5.8,,1,NS,,,1.9,3,0,M,,69,,,,26,12.2,M,2.8,0,,E,2.8,2010,16,8206500.2010.1.26,,2010-01-26 00:00:00,9.7,,YARMOUTH A,
-66.0886111111111,43.8308333333333,8206500,,2.3,,1,NS,,,-0.8,0,0,M,,0,,,,27,15.7,M,0,0,,,0,2010,0,8206500.2010.1.27,,2010-01-27 00:00:00,5.4,,YARMOUTH A,
-66.0886111111111,43.8308333333333,8206500,,0.5,,1,NS,,,-2.6,0,0,M,,0,,,,28,17.5,M,8.6,9,,,0,2010,0,8206500.2010.1.28,,2010-01-28 00:00:00,3.6,T,YARMOUTH A,
-66.0886111111111,43.8308333333333,8206500,E,-5.1,,1,NS,,,-10.2,6,0,M,,69,,,,29,23.1,M,1.6,1.6,,E,0,2010,28,8206500.2010.1.29,,2010-01-29 00:00:00,0,,YARMOUTH A,
-66.0886111111111,43.8308333333333,8206500,E,-8.6,,1,NS,,,-11.6,5,0,M,,48,,,,30,26.6,M,0.6,0.6,,E,0,2010,31,8206500.2010.1.30,,2010-01-30 00:00:00,-5.6,,YARMOUTH A,
-66.0886111111111,43.8308333333333,8206500,E,-7.7,,1,NS,,T,-11.5,5,0,M,,43,,,,31,25.7,M,0,0.2,,E,0,2010,31,8206500.2010.1.31,,2010-01-31 00:00:00,-3.8,,YARMOUTH A,
-66.0886111111111,43.8308333333333,8206500,E,-3.3,,2,NS,,T,-5.1,5,0,M,T,78,,,,1,21.3,M,0,0,,E,0,2010,30,8206500.2010.2.1,,2010-02-01 00:00:00,-1.4,,YARMOUTH A,
-66.0886111111111,43.8308333333333,8206500,E,-9,,2,NS,,,-13.5,4,0,M,,56,,,,2,27,M,0,0,,E,0,2010,30,8206500.2010.2.2,,2010-02-02 00:00:00,-4.5,,YARMOUTH A,
-66.0886111111111,43.8308333333333,8206500,,-8.6,,2,NS,,,-14.1,3,0,M,,0,,,,3,26.6,M,0,0,,,0,2010,0,8206500.2010.2.3,,2010-02-03 00:00:00,-3.1,,YARMOUTH A,
-66.0886111111111,43.8308333333333,8206500,E,-6.7,,2,NS,,,-8.8,8,0,M,,63,,,,4,24.7,M,5,11,,E,0,2010,31,8206500.2010.2.4,,2010-02-04 00:00:00,-4.5,,YARMOUTH A,
-66.0886111111111,43.8308333333333,8206500,E,-7.3,,2,NS,,,-9.7,10,0,M,,54,,,,5,25.3,M,0.8,0.8,,E,0,2010,32,8206500.2010.2.5,,2010-02-05 00:00:00,-4.8,,YARMOUTH A,
-66.0886111111111,43.8308333333333,8206500,E,-10,,2,NS,,,-12.2,10,0,M,,35,,,,6,28,M,0.6,0.6,,E,0,2010,35,8206500.2010.2.6,,2010-02-06 00:00:00,-7.8,,YARMOUTH A,
-66.0886111111111,43.8308333333333,8206500,E,-6,,2,NS,,,-9.4,10,0,M,,48,,,,7,24,M,1.8,1.8,,E,0,2010,33,8206500.2010.2.7,,2010-02-07 00:00:00,-2.5,,YARMOUTH A,
-66.0886111111111,43.8308333333333,8206500,E,-2,,2,NS,,,-3.8,11,0,M,,48,,,,8,20,M,2,2,,E,0,2010,32,8206500.2010.2.8,,2010-02-08 00:00:00,-0.2,T,YARMOUTH A,
-66.0886111111111,43.8308333333333,8206500,E,0,,2,NS,,,-2.5,9,0,M,,50,,,,9,18,M,1,1,,E,0,2010,32,8206500.2010.2.9,,2010-02-09 00:00:00,2.5,,YARMOUTH A,
-66.0886111111111,43.8308333333333,8206500,E,-0.7,,2,NS,,,-4.7,7,0,M,,50,,,,10,18.7,M,0,0,,E,0,2010,6,8206500.2010.2.10,,2010-02-10 00:00:00,3.3,,YARMOUTH A,
-66.0886111111111,43.8308333333333,8206500,E,-0.9,,2,NS,,,-3.2,6,0,M,,50,,,,11,18.9,M,0,0,,E,0,2010,21,8206500.2010.2.11,,2010-02-11 00:00:00,1.4,,YARMOUTH A,
-66.0886111111111,43.8308333333333,8206500,E,1.3,,2,NS,,T,-0.2,3,0,M,T,39,,,,12,16.7,M,0,0,,E,0,2010,32,8206500.2010.2.12,,2010-02-12 00:00:00,2.7,,YARMOUTH A,
-66.0886111111111,43.8308333333333,8206500,E,0.1,,2,NS,,,-1.2,2,0,M,,39,,,,13,17.9,M,0,0,,E,0,2010,31,8206500.2010.2.13,,2010-02-13 00:00:00,1.3,,YARMOUTH A,
-66.0886111111111,43.8308333333333,8206500,,-0.4,,2,NS,,T,-1.6,2,0,M,T,44,,,,14,18.4,M,0,0,,,0,2010,29,8206500.2010.2.14,,2010-02-14 00:00:00,0.9,,YARMOUTH A,
-66.0886111111111,43.8308333333333,8206500,E,-0.6,,2,NS,,,-2.3,2,0,M,,37,,,,15,18.6,M,0.2,0.2,,E,0,2010,29,8206500.2010.2.15,,2010-02-15 00:00:00,1.1,,YARMOUTH A,
-66.0886111111111,43.8308333333333,8206500,E,-0.2,,2,NS,,,-4.5,2,0,M,,39,,,,16,18.2,M,13.4,11,,E,0,2010,7,8206500.2010.2.16,,2010-02-16 00:00:00,4.2,T,YARMOUTH A,
-66.0886111111111,43.8308333333333,8206500,E,0.3,,2,NS,,,-1.4,23,0,M,,46,,,,17,17.7,M,12,12,,E,0,2010,32,8206500.2010.2.17,,2010-02-17 00:00:00,2,,YARMOUTH A,
-66.0886111111111,43.8308333333333,8206500,E,2.1,,2,NS,,,0.4,19,0,M,,37,,,,18,15.9,M,1.4,1.4,,E,0,2010,29,8206500.2010.2.18,,2010-02-18 00:00:00,3.8,T,YARMOUTH A,
-66.0886111111111,43.8308333333333,8206500,,1.7,,2,NS,,T,0.9,14,0,M,T,0,,,,19,16.3,M,0,0,,,0,2010,0,8206500.2010.2.19,,2010-02-19 00:00:00,2.5,,YARMOUTH A,
-66.0886111111111,43.8308333333333,8206500,E,2.3,,2,NS,,T,0.8,11,0,M,T,46,,,,20,15.7,M,0,0,,E,0,2010,31,8206500.2010.2.20,,2010-02-20 00:00:00,3.7,,YARMOUTH A,
-66.0886111111111,43.8308333333333,8206500,E,1,,2,NS,,,-0.1,8,0,M,,39,,,,21,17,M,3.8,3,,E,0.8,2010,31,8206500.2010.2.21,,2010-02-21 00:00:00,2,,YARMOUTH A,
