x,y,TOTAL_RAIN,TOTAL_SNOW,PROVINCE_CODE,CLIMATE_IDENTIFIER,MAX_TEMPERATURE_FLAG,MIN_TEMPERATURE_FLAG,MEAN_TEMPERATURE_FLAG,LOCAL_MONTH,HEATING_DEGREE_DAYS,MIN_REL_HUMIDITY,ID,TOTAL_PRECIPITATION,SNOW_ON_GROUND,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,MAX_TEMPERATURE,TOTAL_PRECIPITATION_FLAG,MAX_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,LOCAL_DAY,MIN_TEMPERATURE,SNOW_ON_GROUND_FLAG,SPEED_MAX_GUST,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY_FLAG,TOTAL_RAIN_FLAG,LOCAL_YEAR,STATION_NAME,LOCAL_DATE,MEAN_TEMPERATURE,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,TOTAL_SNOW_FLAG,COOLING_DEGREE_DAYS_FLAG
-66.0886111111111,43.83083333333333,0,0,NS,8206500,,,,10,4.5,,8206500.2003.10.9,0,0,,0,20.4,,M,,9,6.6,,0,,M,,2003,YARMOUTH A,2003-10-09 00:00:00,13.5,0,,,
-66.0886111111111,43.83083333333333,0,0,NS,8206500,,,,10,6.3,,8206500.2003.10.10,0,0,,0,16.3,,M,,10,7.1,,0,,M,,2003,YARMOUTH A,2003-10-10 00:00:00,11.7,0,,,
-66.0886111111111,43.83083333333333,0,0,NS,8206500,,,,10,4.7,,8206500.2003.10.11,0,0,,0,20.4,,M,,11,6.2,,0,,M,,2003,YARMOUTH A,2003-10-11 00:00:00,13.3,0,,,
-66.0886111111111,43.83083333333333,12.8,0,NS,8206500,,,,10,3,,8206500.2003.10.12,12.8,0,,0,22.8,,M,,12,7.1,,0,,M,,2003,YARMOUTH A,2003-10-12 00:00:00,15,0,,,
-66.0886111111111,43.83083333333333,20.2,0,NS,8206500,,,,10,4.7,,8206500.2003.10.13,20.2,0,,0,17.8,,M,,13,8.7,,0,,M,,2003,YARMOUTH A,2003-10-13 00:00:00,13.3,0,,,
-66.0886111111111,43.83083333333333,0,0,NS,8206500,,,,10,7.1,,8206500.2003.10.14,0,0,,0,15.5,,M,,14,6.3,,0,,M,,2003,YARMOUTH A,2003-10-14 00:00:00,10.9,0,,,
-66.0886111111111,43.83083333333333,21.2,0,NS,8206500,,,,10,4.3,,8206500.2003.10.15,21.2,0,E,0,17.2,,M,,15,10.2,,74,,M,,2003,YARMOUTH A,2003-10-15 00:00:00,13.7,14,E,,
-66.0886111111111,43.83083333333333,0,0,NS,8206500,,,,10,8,,8206500.2003.10.16,0,0,E,0,12,T,M,,16,8,,39,,M,T,2003,YARMOUTH A,2003-10-16 00:00:00,10,28,E,,
-66.0886111111111,43.83083333333333,0,0,NS,8206500,,,,10,10.1,,8206500.2003.10.17,0,0,,0,11.6,,M,,17,4.1,,0,,M,,2003,YARMOUTH A,2003-10-17 00:00:00,7.9,0,,,
-66.0886111111111,43.83083333333333,0.8,0,NS,8206500,,,,10,12.4,,8206500.2003.10.18,0.8,0,,0,8.5,,M,,18,2.7,,0,,M,,2003,YARMOUTH A,2003-10-18 00:00:00,5.6,0,,,
-66.0886111111111,43.83083333333333,0,0,NS,8206500,,,,10,12.8,,8206500.2003.10.19,0,0,,0,9.2,T,M,,19,1.1,,0,,M,T,2003,YARMOUTH A,2003-10-19 00:00:00,5.2,0,,,
-66.0886111111111,43.83083333333333,0,0,NS,8206500,,,,10,13.9,,8206500.2003.10.20,0,0,,0,7.8,,M,,20,0.4,,0,,M,,2003,YARMOUTH A,2003-10-20 00:00:00,4.1,0,,,
-66.0886111111111,43.83083333333333,2.6,0,NS,8206500,,,,10,7.3,,8206500.2003.10.21,2.6,0,E,0,14.2,,M,,21,7.1,,46,,M,,2003,YARMOUTH A,2003-10-21 00:00:00,10.7,19,E,,
-66.0886111111111,43.83083333333333,2.4,0,NS,8206500,,,,10,9.5,,8206500.2003.10.22,2.4,0,,0,10.8,,M,,22,6.2,,0,,M,,2003,YARMOUTH A,2003-10-22 00:00:00,8.5,0,,,
-66.0886111111111,43.83083333333333,5,0,NS,8206500,,,,10,11.8,,8206500.2003.10.23,5,0,,0,8.5,,M,,23,3.8,,0,,M,,2003,YARMOUTH A,2003-10-23 00:00:00,6.2,0,,,
-66.0886111111111,43.83083333333333,0,0,NS,8206500,,,,10,12.4,,8206500.2003.10.24,0,0,E,0,7.3,T,M,,24,3.8,,33,,M,T,2003,YARMOUTH A,2003-10-24 00:00:00,5.6,27,E,,
-66.0886111111111,43.83083333333333,0,0,NS,8206500,,,,10,12.8,,8206500.2003.10.25,0,0,,0,9,,M,,25,1.4,,0,,M,,2003,YARMOUTH A,2003-10-25 00:00:00,5.2,0,,,
-66.0886111111111,43.83083333333333,0,0,NS,8206500,,,,10,7.1,,8206500.2003.10.26,0,0,,0,13.3,,M,,26,8.5,,0,,M,,2003,YARMOUTH A,2003-10-26 00:00:00,10.9,0,,,
-66.0886111111111,43.83083333333333,2.2,0,NS,8206500,,,,10,2.9,,8206500.2003.10.27,2.2,0,E,0,17.1,,M,,27,13,,52,,M,,2003,YARMOUTH A,2003-10-27 00:00:00,15.1,18,E,,
-66.0886111111111,43.83083333333333,14.4,0,NS,8206500,,,,10,5,,8206500.2003.10.28,14.4,0,E,0,15.8,,M,,28,10.2,,48,,M,,2003,YARMOUTH A,2003-10-28 00:00:00,13,20,E,,
-66.0886111111111,43.83083333333333,25.6,0,NS,8206500,,,,10,3.3,,8206500.2003.10.29,25.6,0,E,0,18.7,,M,,29,10.6,,54,,M,,2003,YARMOUTH A,2003-10-29 00:00:00,14.7,16,E,,
-66.0886111111111,43.83083333333333,0.2,0,NS,8206500,,,,10,8.2,,8206500.2003.10.30,0.2,0,E,0,12.1,,M,,30,7.5,,32,,M,,2003,YARMOUTH A,2003-10-30 00:00:00,9.8,22,E,,
-66.0886111111111,43.83083333333333,0,0,NS,8206500,,,,10,7.5,,8206500.2003.10.31,0,0,,0,13.9,,M,,31,7.1,,0,,M,,2003,YARMOUTH A,2003-10-31 00:00:00,10.5,0,,,
-66.0886111111111,43.83083333333333,0,0,NS,8206500,,,,11,6,,8206500.2003.11.1,0,0,,0,14.6,,M,,1,9.4,,0,,M,,2003,YARMOUTH A,2003-11-01 00:00:00,12,0,,,
-66.0886111111111,43.83083333333333,0.2,0,NS,8206500,,,,11,8.8,,8206500.2003.11.2,0.2,0,,0,12.4,,M,,2,6,,0,,M,,2003,YARMOUTH A,2003-11-02 00:00:00,9.2,0,,,
-66.0886111111111,43.83083333333333,1.4,0,NS,8206500,,,,11,11.4,,8206500.2003.11.3,1.4,0,,0,8.1,,M,,3,5.1,,0,,M,,2003,YARMOUTH A,2003-11-03 00:00:00,6.6,0,,,
-66.0886111111111,43.83083333333333,1.6,0,NS,8206500,,,,11,12.9,,8206500.2003.11.4,1.6,0,E,0,8,,M,,4,2.1,,32,,M,,2003,YARMOUTH A,2003-11-04 00:00:00,5.1,36,E,T,
-66.0886111111111,43.83083333333333,27,0,NS,8206500,,,,11,9.5,,8206500.2003.11.5,27,0,E,0,14.7,,M,,5,2.3,,32,,M,,2003,YARMOUTH A,2003-11-05 00:00:00,8.5,21,E,,
-66.0886111111111,43.83083333333333,0,0,NS,8206500,,,,11,8.4,,8206500.2003.11.6,0,0,,0,11.9,T,M,,6,7.3,,0,,M,T,2003,YARMOUTH A,2003-11-06 00:00:00,9.6,0,,,
-66.0886111111111,43.83083333333333,0,0,NS,8206500,,,,11,10.3,,8206500.2003.11.7,0,0,,0,11.1,,M,,7,4.3,,0,,M,,2003,YARMOUTH A,2003-11-07 00:00:00,7.7,0,,,
-66.0886111111111,43.83083333333333,0,0,NS,8206500,,,,11,14.7,,8206500.2003.11.8,0,0,E,0,8.6,,M,,8,-2.1,,50,,M,,2003,YARMOUTH A,2003-11-08 00:00:00,3.3,30,E,,
-66.0886111111111,43.83083333333333,0,0,NS,8206500,,,,11,18.6,,8206500.2003.11.9,0,0,E,0,1.2,,M,,9,-2.3,,37,,M,,2003,YARMOUTH A,2003-11-09 00:00:00,-0.6,32,E,,
-66.0886111111111,43.83083333333333,0,0,NS,8206500,,,,11,15.5,,8206500.2003.11.10,0,0,,0,5.9,,M,,10,-0.9,,0,,M,,2003,YARMOUTH A,2003-11-10 00:00:00,2.5,0,,,
-66.0886111111111,43.83083333333333,4.4,0,NS,8206500,,,,11,14,,8206500.2003.11.11,4.4,0,E,0,8.3,,M,,11,-0.4,,37,,M,,2003,YARMOUTH A,2003-11-11 00:00:00,4,21,E,,
-66.0886111111111,43.83083333333333,2.6,0,NS,8206500,,,,11,11.9,,8206500.2003.11.12,2.6,0,,0,10.3,,M,,12,1.9,,0,,M,,2003,YARMOUTH A,2003-11-12 00:00:00,6.1,0,,,
-66.0886111111111,43.83083333333333,6.6,0,NS,8206500,,,,11,9.6,,8206500.2003.11.13,6.6,0,E,0,12.4,,M,,13,4.4,,63,,M,,2003,YARMOUTH A,2003-11-13 00:00:00,8.4,14,E,T,
-66.0886111111111,43.83083333333333,1.2,0,NS,8206500,,,,11,15.5,,8206500.2003.11.14,1.2,0,E,0,5.5,,M,,14,-0.6,,59,,M,,2003,YARMOUTH A,2003-11-14 00:00:00,2.5,27,E,T,
-66.0886111111111,43.83083333333333,0,0,NS,8206500,,,,11,16.6,,8206500.2003.11.15,0,0,E,0,2.4,T,M,,15,0.3,T,50,,M,,2003,YARMOUTH A,2003-11-15 00:00:00,1.4,30,E,T,
-66.0886111111111,43.83083333333333,0,0,NS,8206500,,,,11,17.5,,8206500.2003.11.16,0,0,E,0,3.5,,M,,16,-2.5,,37,,M,,2003,YARMOUTH A,2003-11-16 00:00:00,0.5,32,E,,
-66.0886111111111,43.83083333333333,0,0,NS,8206500,,,,11,16.1,,8206500.2003.11.17,0,0,,0,6.3,,M,,17,-2.6,,0,,M,,2003,YARMOUTH A,2003-11-17 00:00:00,1.9,0,,,
-66.0886111111111,43.83083333333333,0,0,NS,8206500,,,,11,14.6,,8206500.2003.11.18,0,0,,0,9.7,,M,,18,-2.9,,0,,M,,2003,YARMOUTH A,2003-11-18 00:00:00,3.4,0,,,
-66.0886111111111,43.83083333333333,0,0,NS,8206500,,,,11,12.6,,8206500.2003.11.19,0,0,E,0,13.5,T,M,,19,-2.7,,35,,M,T,2003,YARMOUTH A,2003-11-19 00:00:00,5.4,15,E,,
-66.0886111111111,43.83083333333333,1,0,NS,8206500,,,,11,3.3,,8206500.2003.11.20,1,0,E,0,18,,M,,20,11.3,,46,,M,,2003,YARMOUTH A,2003-11-20 00:00:00,14.7,16,E,,
-66.0886111111111,43.83083333333333,1,0,NS,8206500,,,,11,6.1,,8206500.2003.11.21,1,0,,0,14.6,,M,,21,9.2,,0,,M,,2003,YARMOUTH A,2003-11-21 00:00:00,11.9,0,,,
-66.0886111111111,43.83083333333333,0,0,NS,8206500,,,,11,10.8,,8206500.2003.11.22,0,0,E,0,10.8,,M,,22,3.5,,37,,M,,2003,YARMOUTH A,2003-11-22 00:00:00,7.2,1,E,,
-66.0886111111111,43.83083333333333,0,0,NS,8206500,,,,11,13.2,,8206500.2003.11.23,0,0,,0,10.5,,M,,23,-1,,0,,M,,2003,YARMOUTH A,2003-11-23 00:00:00,4.8,0,,,
-66.0886111111111,43.83083333333333,0.2,0,NS,8206500,,,,11,14.2,,8206500.2003.11.24,0.2,0,,0,7.2,,M,,24,0.3,,0,,M,,2003,YARMOUTH A,2003-11-24 00:00:00,3.8,0,,,
-66.0886111111111,43.83083333333333,0.2,0,NS,8206500,,,,11,13.7,,8206500.2003.11.25,0.2,0,,0,9.5,,M,,25,-0.9,,0,,M,,2003,YARMOUTH A,2003-11-25 00:00:00,4.3,0,,,
-66.0886111111111,43.83083333333333,0,0,NS,8206500,,,,11,16.3,,8206500.2003.11.26,0,0,,0,6,,M,,26,-2.7,,0,,M,,2003,YARMOUTH A,2003-11-26 00:00:00,1.7,0,,,
-66.0886111111111,43.83083333333333,0,0,NS,8206500,,,,11,13.6,,8206500.2003.11.27,0,0,,0,8.4,T,M,,27,0.4,,0,,M,T,2003,YARMOUTH A,2003-11-27 00:00:00,4.4,0,,,
-66.0886111111111,43.83083333333333,28.4,0,NS,8206500,,,,11,9.5,,8206500.2003.11.28,28.4,0,E,0,13.5,,M,,28,3.4,,37,,M,,2003,YARMOUTH A,2003-11-28 00:00:00,8.5,18,E,,
-66.0886111111111,43.83083333333333,4.4,0,NS,8206500,,,,11,9.3,,8206500.2003.11.29,4.4,0,E,0,15.6,,M,,29,1.8,,67,,M,,2003,YARMOUTH A,2003-11-29 00:00:00,8.7,24,E,T,
-66.0886111111111,43.83083333333333,0,0,NS,8206500,,,,11,12.8,,8206500.2003.11.30,0,0,E,0,7,T,M,,30,3.3,,69,,M,T,2003,YARMOUTH A,2003-11-30 00:00:00,5.2,27,E,,
-66.0886111111111,43.83083333333333,0,0,NS,8206500,,,,12,12.5,,8206500.2003.12.1,0,0,E,0,9.9,T,M,,1,1,,48,,M,T,2003,YARMOUTH A,2003-12-01 00:00:00,5.5,28,E,,
-66.0886111111111,43.83083333333333,0,0.4,NS,8206500,,,,12,21,,8206500.2003.12.2,0.4,0,E,0,1.1,,M,,2,-7,,37,,M,,2003,YARMOUTH A,2003-12-02 00:00:00,-3,30,E,,
